s	real_super_population
HG02020	EAS
HG02021	EAS
HG02023	EAS
HG02024	EAS
HG02025	EAS
HG02026	EAS
HG02027	EAS
HG02028	EAS
HG02029	EAS
HG02030	EAS
HG02031	EAS
HG02032	EAS
HG02035	EAS
HG02040	EAS
HG02046	EAS
HG02047	EAS
HG02048	EAS
HG02049	EAS
HG02050	EAS
HG02051	AFR
HG02052	AFR
HG02053	AFR
HG02054	AFR
HG02055	AFR
HG02056	EAS
HG02057	EAS
HG02058	EAS
HG02059	EAS
HG02060	EAS
HG02061	EAS
HG02064	EAS
HG02067	EAS
HG02068	EAS
HG02069	EAS
HG02070	EAS
HG02071	EAS
HG02072	EAS
HG02073	EAS
HG02074	EAS
HG02075	EAS
HG02076	EAS
HG02077	EAS
HG02078	EAS
HG02079	EAS
HG02080	EAS
HG02081	EAS
HG02082	EAS
HG02083	EAS
HG02084	EAS
HG02085	EAS
HG02086	EAS
HG02087	EAS
HG02088	EAS
HG02089	AMR
HG02090	AMR
HG02091	AMR
HG02095	AFR
HG02102	AMR
HG02104	AMR
HG02105	AMR
HG02106	AMR
HG02107	AFR
HG02108	AFR
HG02111	AFR
HG02113	EAS
HG02116	EAS
HG02120	EAS
HG02121	EAS
HG02122	EAS
HG02126	EAS
HG02127	EAS
HG02128	EAS
HG02129	EAS
HG02130	EAS
HG02131	EAS
HG02132	EAS
HG02133	EAS
HG02134	EAS
HG02135	EAS
HG02136	EAS
HG02137	EAS
HG02138	EAS
HG02139	EAS
HG02140	EAS
HG02141	EAS
HG02142	EAS
HG02143	AFR
HG02144	AFR
HG02145	AFR
HG02146	AMR
HG02147	AMR
HG02148	AMR
HG02150	AMR
HG02151	EAS
HG02152	EAS
HG02153	EAS
HG02154	EAS
HG02155	EAS
HG02156	EAS
HG02164	EAS
HG02165	EAS
HG02166	EAS
HG02168	EAS
HG02169	EAS
HG02170	EAS
HG02173	EAS
HG02176	EAS
HG02178	EAS
HG02179	EAS
HG02180	EAS
HG02181	EAS
HG02182	EAS
HG02184	EAS
HG02185	EAS
HG02186	EAS
HG02187	EAS
HG02188	EAS
HG02189	EAS
HG02190	EAS
HG02215	EUR
HG02217	EUR
HG02218	EUR
HG02219	EUR
HG02220	EUR
HG02221	EUR
HG02222	EUR
HG02223	EUR
HG02224	EUR
HG02225	EUR
HG02229	EUR
HG02230	EUR
HG02231	EUR
HG02232	EUR
HG02233	EUR
HG02234	EUR
HG02235	EUR
HG02236	EUR
HG02237	EUR
HG02238	EUR
HG02239	EUR
HG02240	EUR
HG02250	EAS
HG02252	AMR
HG02253	AMR
HG02254	AMR
HG02255	AFR
HG02256	AFR
HG02257	AFR
HG02258	AFR
HG02259	AMR
HG02260	AMR
HG02261	AMR
HG02262	AMR
HG02265	AMR
HG02266	AMR
